id_image,date_image,ndvi_value,evi_value,date_image_dt
20190121T164611_20190121T164609_T15SYV,2019-01-21,0.5005653076713648,2.8282175912090377,2019-01-21
20190126T164549_20190126T164551_T15SYV,2019-01-26,0.4784408480064137,2.8577059426727414,2019-01-26
20190317T164029_20190317T164113_T15SYV,2019-03-17,0.46297403036966145,2.8781680549511623,2019-03-17
20190322T163951_20190322T164744_T15SYV,2019-03-22,0.25128704513429617,2.7686582382376796,2019-03-22
20190327T164109_20190327T164602_T15SYV,2019-03-27,0.26872125612413217,2.794723992152945,2019-03-27
20190421T163901_20190421T164917_T15SYV,2019-04-21,0.23443270634617375,2.776307805192815,2019-04-21
20190426T163849_20190426T165038_T15SYV,2019-04-26,0.23800484104592726,2.7926767062690887,2019-04-26
20190506T163849_20190506T164355_T15SYV,2019-05-06,0.17017391944231516,2.7450848042337435,2019-05-06
20190516T163849_20190516T164414_T15SYV,2019-05-16,0.22274298404841864,2.765966893683559,2019-05-16
20190526T163849_20190526T165008_T15SYV,2019-05-26,0.2675315980537456,2.800880137849177,2019-05-26
20190531T163901_20190531T165213_T15SYV,2019-05-31,0.3396071986949524,2.8249047330630943,2019-05-31
20190605T163849_20190605T165318_T15SYV,2019-06-05,0.4061381637977032,2.866226082605174,2019-06-05
20190610T163901_20190610T165257_T15SYV,2019-06-10,0.6589276567340158,2.9077510861062956,2019-06-10
20190620T163901_20190620T164947_T15SYV,2019-06-20,0.5474715191502241,3.027519242852802,2019-06-20
20190630T163901_20190630T164745_T15SYV,2019-06-30,0.8100319412200364,2.9708612669141488,2019-06-30
20190705T163849_20190705T164349_T15SYV,2019-07-05,0.6244943989043289,3.034071744441147,2019-07-05
20190720T163901_20190720T164944_T15SYV,2019-07-20,0.7584512964654538,3.0201597168185885,2019-07-20
20190725T163849_20190725T164606_T15SYV,2019-07-25,0.8106756285685717,3.0193522771499786,2019-07-25
20190804T163849_20190804T165311_T15SYV,2019-08-04,0.6145794943797178,3.0510366577913692,2019-08-04
20190814T163849_20190814T164716_T15SYV,2019-08-14,0.7695735921460383,2.949654170857619,2019-08-14
20190819T163901_20190819T165206_T15SYV,2019-08-19,0.6757022597083738,2.897630111991323,2019-08-19
20190829T163901_20190829T164542_T15SYV,2019-08-29,0.5441130855809297,2.876836689624093,2019-08-29
20190903T163839_20190903T164329_T15SYV,2019-09-03,0.46825274521303767,2.866900239593607,2019-09-03
20190908T163901_20190908T165210_T15SYV,2019-09-08,0.38323862346468107,2.8244744146561622,2019-09-08
20190913T163859_20190913T164405_T15SYV,2019-09-13,0.37293630066815175,2.8530211204093843,2019-09-13
20190918T164021_20190918T165045_T15SYV,2019-09-18,0.34243395126458076,2.827523576087962,2019-09-18
20190928T164041_20190928T164510_T15SYV,2019-09-28,0.27295283232181217,2.759462373476607,2019-09-28
20191003T164129_20191003T165242_T15SYV,2019-10-03,0.2534810586247991,2.780202229774133,2019-10-03
20191008T164201_20191008T164732_T15SYV,2019-10-08,0.22130431296872413,2.7555023514671255,2019-10-08
20191013T164239_20191013T164555_T15SYV,2019-10-13,0.21342077114480962,2.7633647079391768,2019-10-13
20191018T164311_20191018T164413_T15SYV,2019-10-18,0.20929504789490916,2.7482563417429136,2019-10-18
20191023T164339_20191023T164855_T15SYV,2019-10-23,0.22686275409489304,2.7724873462288433,2019-10-23
20191102T164439_20191102T164519_T15SYV,2019-11-02,0.26129351197580897,2.8096508193655185,2019-11-02
20191127T164631_20191127T164631_T15SYV,2019-11-27,0.3046829687120291,2.7944406879525334,2019-11-27
20200106T164651_20200106T164654_T15SYV,2020-01-06,0.41032018780310514,2.802731334643672,2020-01-06
20200121T164609_20200121T165204_T15SYV,2020-01-21,0.367635476958895,2.945900491551959,2020-01-21
20200215T164351_20200215T165047_T15SYV,2020-02-15,0.51438888290916,2.8641139751520375,2020-02-15
20200306T164141_20200306T164609_T15SYV,2020-03-06,0.5304168577779984,2.8646572487379514,2020-03-06
20200326T163911_20200326T164633_T15SYV,2020-03-26,0.4861216341216646,2.8424533854182674,2020-03-26
20200405T163851_20200405T165117_T15SYV,2020-04-05,0.46125405403018493,2.8492615231947953,2020-04-05
20200410T163839_20200410T164710_T15SYV,2020-04-10,0.4457580843284207,2.883243056055256,2020-04-10
20200415T163901_20200415T164718_T15SYV,2020-04-15,0.43240707114646276,2.857021975258917,2020-04-15
20200420T163829_20200420T165055_T15SYV,2020-04-20,0.39535160718338813,2.8519164460852413,2020-04-20
20200430T163839_20200430T165335_T15SYV,2020-04-30,0.35535899121520387,2.8384282105817777,2020-04-30
20200510T163839_20200510T164708_T15SYV,2020-05-10,0.3017422802129622,2.814865394831001,2020-05-10
20200525T163901_20200525T165159_T15SYV,2020-05-25,0.20423028213681027,2.744120837641682,2020-05-25
20200530T163839_20200530T165323_T15SYV,2020-05-30,0.3489973393198273,2.8317087431489094,2020-05-30
20200619T163839_20200619T165248_T15SYV,2020-06-19,0.5841603467718035,2.901716926857842,2020-06-19
20200624T163901_20200624T165224_T15SYV,2020-06-24,0.7661864276511282,2.899266486207111,2020-06-24
20200709T163839_20200709T164859_T15SYV,2020-07-09,0.5686641938498539,2.973303395419284,2020-07-09
20200719T163839_20200719T165022_T15SYV,2020-07-19,0.8638835039135477,2.9941863554867982,2020-07-19
20200724T163901_20200724T165147_T15SYV,2020-07-24,0.9135450072332801,2.9642612682858136,2020-07-24
20200803T163901_20200803T165003_T15SYV,2020-08-03,0.9094470510149403,2.962874858220291,2020-08-03
20200808T163839_20200808T164130_T15SYV,2020-08-08,0.8919981077648184,2.98613191738648,2020-08-08
20200818T163839_20200818T164652_T15SYV,2020-08-18,0.8891907105423739,2.985330496426205,2020-08-18
20200823T163901_20200823T164839_T15SYV,2020-08-23,0.8765309155301229,2.9577041712261085,2020-08-23
20200902T163901_20200902T164510_T15SYV,2020-09-02,0.7814072686710197,2.9354982911036425,2020-09-02
20200907T163839_20200907T164430_T15SYV,2020-09-07,0.8213294002609709,2.9301451115571457,2020-09-07
20200927T163949_20200927T165131_T15SYV,2020-09-27,0.3095928447251824,2.8946621905920833,2020-09-27
